# 6-DOF UR5 robot arm csv file for V-REP animation.
# All lines beginning with # are treated as a comment and ignored.
# Each line below is of the form
# jt1ang, jt2ang, jt3ang, jt4ang, jt5ang, jt6ang
# where each joint angle is expressed in radians.
2.950000,-1.570000,0.000000,0.000000,0.000000,0.000000
2.987484,-1.540050,0.019967,0.019992,0.012495,0.009996
3.024875,-1.510399,0.039734,0.039933,0.024958,0.019967
3.062079,-1.481344,0.059104,0.059775,0.037360,0.029888
3.099002,-1.453174,0.077884,0.079468,0.049667,0.039734
3.135553,-1.426172,0.095885,0.098962,0.061851,0.049481
3.171640,-1.400607,0.112928,0.118208,0.073880,0.059104
3.207173,-1.376735,0.128844,0.137159,0.085724,0.068580
3.242064,-1.354793,0.143471,0.155767,0.097355,0.077884
3.276224,-1.335002,0.156665,0.173986,0.108741,0.086993
3.309569,-1.317559,0.168294,0.191770,0.119856,0.095885
3.342015,-1.302638,0.178241,0.209075,0.130672,0.104537
3.373482,-1.290388,0.186408,0.225857,0.141161,0.112928
3.403890,-1.280933,0.192712,0.242075,0.151297,0.121037
3.433163,-1.274365,0.197090,0.257687,0.161054,0.128844
3.461229,-1.270752,0.199499,0.272656,0.170410,0.136328
3.488017,-1.270128,0.199915,0.286942,0.179339,0.143471
3.513460,-1.272501,0.198333,0.300512,0.187820,0.150256
3.537495,-1.277846,0.194770,0.313331,0.195832,0.156665
3.560062,-1.286110,0.189260,0.325366,0.203354,0.162683
3.581103,-1.297211,0.181859,0.336588,0.210368,0.168294
3.600567,-1.311037,0.172642,0.346969,0.216856,0.173485
3.618406,-1.327451,0.161699,0.356483,0.222802,0.178241
3.634573,-1.346288,0.149141,0.365106,0.228191,0.182553
3.649029,-1.367361,0.135093,0.372816,0.233010,0.186408
3.661738,-1.390458,0.119694,0.379594,0.237246,0.189797
3.672669,-1.415350,0.103100,0.385423,0.240890,0.192712
3.681793,-1.441786,0.085476,0.390289,0.243931,0.195145
3.689087,-1.469504,0.066998,0.394180,0.246362,0.197090
3.694535,-1.498225,0.047850,0.397085,0.248178,0.198543
3.698121,-1.527664,0.028224,0.398998,0.249374,0.199499
3.699838,-1.557526,0.008316,0.399914,0.249946,0.199957
3.699680,-1.587512,-0.011675,0.399829,0.249893,0.199915
3.697649,-1.617324,-0.031549,0.398746,0.249216,0.199373
3.693749,-1.646662,-0.051108,0.396666,0.247916,0.198333
3.687989,-1.675235,-0.070157,0.393594,0.245996,0.196797
3.680386,-1.702756,-0.088504,0.389539,0.243462,0.194770
3.670956,-1.728951,-0.105967,0.384510,0.240319,0.192255
3.659725,-1.753557,-0.122372,0.378520,0.236575,0.189260
3.646720,-1.776330,-0.137553,0.371584,0.232240,0.185792
3.631973,-1.797041,-0.151360,0.363719,0.227324,0.181859
3.615522,-1.815483,-0.163655,0.354945,0.221841,0.177472
3.597407,-1.831473,-0.174315,0.345284,0.215802,0.172642
3.577674,-1.844850,-0.183233,0.334760,0.209225,0.167380
3.556372,-1.855481,-0.190320,0.323399,0.202124,0.161699
3.533555,-1.863259,-0.195506,0.311229,0.194518,0.155615
3.509279,-1.868107,-0.198738,0.298282,0.186426,0.149141
3.483605,-1.869977,-0.199985,0.284589,0.177868,0.142295
3.456597,-1.868849,-0.199233,0.270185,0.168866,0.135093
3.428324,-1.864736,-0.196491,0.255106,0.159441,0.127553
3.398854,-1.857677,-0.191785,0.239389,0.149618,0.119694
3.368263,-1.847744,-0.185163,0.223073,0.139421,0.111537
3.336626,-1.835036,-0.176691,0.206201,0.128875,0.103100
3.304023,-1.819680,-0.166453,0.188812,0.118008,0.094406
3.270535,-1.801829,-0.154553,0.170952,0.106845,0.085476
3.236246,-1.781662,-0.141108,0.152664,0.095415,0.076332
3.201241,-1.759380,-0.126253,0.133995,0.083747,0.066998
3.165609,-1.735206,-0.110137,0.114991,0.071870,0.057496
3.129437,-1.709381,-0.092920,0.095700,0.059812,0.047850
3.092817,-1.682163,-0.074775,0.076169,0.047606,0.038085
3.055840,-1.653825,-0.055883,0.056448,0.035280,0.028224
3.018598,-1.624649,-0.036433,0.036586,0.022866,0.018293
2.981185,-1.594927,-0.016618,0.016632,0.010395,0.008316
2.943695,-1.564956,0.003363,-0.003363,-0.002102,-0.001681
2.906219,-1.535035,0.023310,-0.023350,-0.014594,-0.011675
2.868854,-1.505464,0.043024,-0.043278,-0.027049,-0.021639
2.831691,-1.476538,0.062308,-0.063098,-0.039436,-0.031549
2.794824,-1.448545,0.080970,-0.082761,-0.051725,-0.041380
2.758344,-1.421766,0.098823,-0.102216,-0.063885,-0.051108
2.722344,-1.396468,0.115688,-0.121417,-0.075885,-0.060708
2.686913,-1.372904,0.131397,-0.140313,-0.087696,-0.070157
2.652139,-1.351309,0.145794,-0.158859,-0.099287,-0.079430
2.618110,-1.331900,0.158734,-0.177008,-0.110630,-0.088504
2.584910,-1.314869,0.170087,-0.194715,-0.121697,-0.097357
2.552623,-1.300388,0.179742,-0.211934,-0.132459,-0.105967
2.521329,-1.288600,0.187600,-0.228625,-0.142890,-0.114312
2.491107,-1.279624,0.193584,-0.244743,-0.152964,-0.122372
2.462031,-1.273550,0.197634,-0.260250,-0.162656,-0.130125
2.434175,-1.270437,0.199709,-0.275106,-0.171942,-0.137553
2.407609,-1.270318,0.199788,-0.289275,-0.180797,-0.144638
2.382398,-1.273193,0.197872,-0.302721,-0.189201,-0.151360
2.358606,-1.279033,0.193978,-0.315410,-0.197131,-0.157705
2.336292,-1.287781,0.188146,-0.327311,-0.204569,-0.163655
2.315512,-1.299348,0.180434,-0.338393,-0.211496,-0.169197
2.296318,-1.313620,0.170920,-0.348630,-0.217894,-0.174315
2.278758,-1.330454,0.159697,-0.357996,-0.223747,-0.178998
2.262876,-1.349681,0.146879,-0.366466,-0.229041,-0.183233
2.248711,-1.371109,0.132594,-0.374021,-0.233763,-0.187011
2.236298,-1.394525,0.116983,-0.380641,-0.237901,-0.190320
2.225670,-1.419694,0.100204,-0.386309,-0.241443,-0.193155
2.216852,-1.446364,0.082424,-0.391012,-0.244383,-0.195506
2.209867,-1.474270,0.063820,-0.394738,-0.246711,-0.197369
2.204732,-1.503133,0.044578,-0.397476,-0.248423,-0.198738
2.201459,-1.532664,0.024891,-0.399222,-0.249514,-0.199611
2.200058,-1.562567,0.004955,-0.399969,-0.249981,-0.199985
2.200530,-1.592545,-0.015030,-0.399717,-0.249823,-0.199859
2.202877,-1.622298,-0.034865,-0.398466,-0.249041,-0.199233
2.207090,-1.651528,-0.054352,-0.396219,-0.247637,-0.198109
2.213161,-1.679944,-0.073296,-0.392981,-0.245613,-0.196491
2.221073,-1.707261,-0.091507,-0.388761,-0.242976,-0.194381
2.230807,-1.733206,-0.108804,-0.383570,-0.239731,-0.191785
2.242338,-1.757521,-0.125014,-0.377419,-0.235887,-0.188710
2.255639,-1.779962,-0.139975,-0.370326,-0.231454,-0.185163
2.270675,-1.800306,-0.153537,-0.362307,-0.226442,-0.181153
2.287409,-1.818348,-0.165565,-0.353382,-0.220864,-0.176691
2.305799,-1.833909,-0.175939,-0.343574,-0.214734,-0.171787
2.325799,-1.846833,-0.184555,-0.332907,-0.208067,-0.166453
2.347360,-1.856991,-0.191327,-0.321408,-0.200880,-0.160704
2.370427,-1.864281,-0.196187,-0.309106,-0.193191,-0.154553
2.394942,-1.868631,-0.199087,-0.296031,-0.185019,-0.148015
2.420845,-1.869997,-0.199998,-0.282216,-0.176385,-0.141108
2.448070,-1.868366,-0.198911,-0.267696,-0.167310,-0.133848
2.476550,-1.863753,-0.195836,-0.252507,-0.157817,-0.126253
2.506213,-1.856206,-0.190804,-0.236686,-0.147929,-0.118343
2.536986,-1.845799,-0.183866,-0.220274,-0.137671,-0.110137
2.568791,-1.832636,-0.175090,-0.203312,-0.127070,-0.101656
2.601548,-1.816849,-0.164566,-0.185841,-0.116151,-0.092920
2.635177,-1.798595,-0.152397,-0.167906,-0.104941,-0.083953
2.669593,-1.778058,-0.138705,-0.149551,-0.093469,-0.074775
2.704709,-1.755441,-0.123627,-0.130822,-0.081764,-0.065411
2.740438,-1.730972,-0.107315,-0.111766,-0.069854,-0.055883
2.776692,-1.704894,-0.089929,-0.092431,-0.057769,-0.046216
2.813378,-1.677469,-0.071646,-0.072865,-0.045541,-0.036433
2.850406,-1.648970,-0.052646,-0.053117,-0.033198,-0.026558
2.887683,-1.619681,-0.033121,-0.033236,-0.020772,-0.016618
2.925116,-1.589897,-0.013264,-0.013272,-0.008295,-0.006636
2.962610,-1.559913,0.006725,0.006726,0.004203,0.003363
3.000074,-1.530030,0.026646,0.026706,0.016691,0.013353
3.037412,-1.500547,0.046302,0.046620,0.029137,0.023310
3.074532,-1.471758,0.065495,0.066417,0.041511,0.033208
3.111340,-1.443950,0.084033,0.086048,0.053780,0.043024
3.147745,-1.417402,0.101732,0.105464,0.065915,0.052732
3.183656,-1.392378,0.118415,0.124617,0.077885,0.062308
3.218983,-1.369129,0.133914,0.143458,0.089661,0.071729
3.253637,-1.347887,0.148075,0.161940,0.101212,0.080970
